case	state	r_value	mass_mode	custom_mass_min_GeV	custom_mass_max_GeV	mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
onshell_2b2tau_r0p9	2b2tau	0.9	baseline-plus-edges	10.44	1000.0	1.2575000000e+02	5.4821569824e-25	3.3848898086e-26	1.0000000000e+00	1.9165930586e+00	7.1426269374e+01	3.8401842243e+00
onshell_2b2tau_r0p9	2b2tau	0.9	baseline-plus-edges	10.44	1000.0	1.7361000000e+02	8.0715499223e-25	5.2805631464e-26	1.0000000000e+00	1.8900264277e+00	7.1399164586e+01	3.8400180303e+00
onshell_2b2tau_r0p9	2b2tau	0.9	baseline-plus-edges	10.44	1000.0	2.2890000000e+02	3.1412528388e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401091488e+00
onshell_2b2tau_r0p9	2b2tau	0.9	baseline-plus-edges	10.44	1000.0	3.1602000000e+02	1.7754933449e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400226616e+00
onshell_2b2tau_r0p9	2b2tau	0.9	baseline-plus-edges	10.44	1000.0	4.3631000000e+02	1.7321638699e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402053044e+00
onshell_2b2tau_r0p9	2b2tau	0.9	baseline-plus-edges	10.44	1000.0	6.0239000000e+02	2.3256342920e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401789432e+00
onshell_2b2tau_r0p9	2b2tau	0.9	baseline-plus-edges	10.44	1000.0	8.3168000000e+02	3.5887433243e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402409078e+00
onshell_2b2tau_r0p9	2b2tau	0.9	baseline-plus-edges	10.44	1000.0	1.0000000000e+03	4.8777903958e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402104759e+00
onshell_2b2tau_r1p0	2b2tau	1.0	baseline-plus-edges	9.4	1000.0	9.4000000000e+00	8.6112445426e-26	2.2126458255e-26	1.0000000000e+00	2.0192109297e+00	6.8566302262e+01	3.8403141152e+00
onshell_2b2tau_r1p0	2b2tau	1.0	baseline-plus-edges	9.4	1000.0	2.5300000000e+01	8.9538573690e-26	2.3776650135e-26	1.0000000000e+00	1.9169028179e+00	6.6838432260e+01	3.8400560740e+00
onshell_2b2tau_r1p0	2b2tau	1.0	baseline-plus-edges	9.4	1000.0	3.5190000000e+01	9.6767844100e-26	1.8347346428e-26	1.0000000000e+00	1.9135966981e+00	7.0213648680e+01	3.8402437872e+00
onshell_2b2tau_r1p0	2b2tau	1.0	baseline-plus-edges	9.4	1000.0	4.6690000000e+01	6.8223332841e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401351828e+00
onshell_2b2tau_r1p0	2b2tau	1.0	baseline-plus-edges	9.4	1000.0	6.4940000000e+01	6.9959506767e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400744031e+00
onshell_2b2tau_r1p0	2b2tau	1.0	baseline-plus-edges	9.4	1000.0	9.0330000000e+01	1.5923036263e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402452878e+00
onshell_2b2tau_r1p0	2b2tau	1.0	baseline-plus-edges	9.4	1000.0	1.2565000000e+02	5.0358486928e-25	3.3018047918e-26	1.0000000000e+00	1.9216648106e+00	7.1417724257e+01	3.8403684848e+00
onshell_2b2tau_r1p0	2b2tau	1.0	baseline-plus-edges	9.4	1000.0	1.6673000000e+02	8.4570596789e-25	8.3952001622e-26	1.0000000000e+00	1.8336182757e+00	7.1194527147e+01	3.8405299749e+00
onshell_2b2tau_r1p0	2b2tau	1.0	baseline-plus-edges	9.4	1000.0	2.3191000000e+02	2.6594090432e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400681027e+00
onshell_2b2tau_r1p0	2b2tau	1.0	baseline-plus-edges	9.4	1000.0	3.2258000000e+02	1.7103183364e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401270361e+00
onshell_2b2tau_r1p0	2b2tau	1.0	baseline-plus-edges	9.4	1000.0	4.4870000000e+02	1.7651577255e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402355116e+00
onshell_2b2tau_r1p0	2b2tau	1.0	baseline-plus-edges	9.4	1000.0	5.9538000000e+02	2.2619784537e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400693044e+00
onshell_2b2tau_r1p0	2b2tau	1.0	baseline-plus-edges	9.4	1000.0	8.2814000000e+02	3.5660414403e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400664892e+00
onshell_2b2tau_r1p0	2b2tau	1.0	baseline-plus-edges	9.4	1000.0	1.0000000000e+03	4.8040631280e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402332759e+00
